Material,Band_Gap(ev),Refractive_index_n,mean-z,std-z,mean_mass,std_mass,mean_ele,std_ele,mean-FIE,std_FIE,mean-p,std-p,mean-radius,std-radius,mean-Den,std-Den,mean-boil,std-boil,mean-melt,std-melt,mean-con,std-con
Sb2CO3,3.36,2.387,12,6.4,50.588,50.345,2.828,0.633,11.565,2.23,3,1.414,79.5,38.421,3699.714,4503.007,698.219,1439.13,981.159,1365.883,31.345,49.759
Sb2O3,3.31,2.087,25.2,21.06,58.303,51.811,2.884,0.68,11.626,2.438,3.2,1.469,82,41.641,2679.657,3280.146,54.864,43.277,394.392,415.913,9.615,11.744
Sc2O3,6.2,1.964,13.2,6.36,27.582,14.185,2.608,1.018,10.795,3.456,2.8,0.979,102.4,66.626,1994.857,1461.645,55.361,42.668,758.48,861.828,6.415,7.825
ScN,2.26,2.61,14,7,67.883,53.876,2.2,0.84,10.548,3.986,3,1,120,64,1493.125,1491.874,40.231,37.128,938.525,875.475,8.012,7.987
Se2O3,5,2,17.2,11.26,38.783,27.904,3.084,0.436,12.072,1.893,2.8,0.979,70,26.944,1928.457,2360.118,437.32,425.133,230.48,215.163,0.223,0.241
Si,1.124,3.4777,14,0,28.085,0,1.9,0,8.151,0,3,0,111,0,2330,0,3173,0,1687,0,150,0
SiC,2.42,3.3714,10,4,20.047,8.037,2.224,0.324,9.706,1.554,2.5,0.5,89,22,2295,35,3544,371,2801,1114,145,5
Si3N4,5.1,2.0105,10,3.46,20.04,6.967,2.551,0.564,11.798,3.158,2.428,0.494,79.571,27.217,999.286,1152.431,1404.062,1531.944,759.028,803.646,64.3,74.217
SiO2,8.4,1.457,10,2.82,20.028,5.697,2.926,0.725,11.795,3.158,2.333,0.471,69,29.698,777.619,1097.698,1117.8,1453.245,598.866,769.426,50.017,70.698
Sm2O3,5,1.984,29.6,26.45,69.743,65.822,2.532,1.112,10.428,3.906,3.6,1.959,124,93.08,2942.057,3601.519,884.52,972.839,570.88,632.066,5.215,6.355
SnO2,4.8,2.0326,22,19.79,50.236,48.418,2.946,0.697,11.526,2.957,3,1.414,80.333,45.726,2437.619,3445.293,61.091,41.165,204.893,212.264,22.351,31.571
SnS2,2.43,2.6408,27.33,16.02,60.946,40.844,2.373,0.292,9.35,1.421,3.666,0.942,107,26.87,3743.333,2522.014,479.538,337.051,427.266,55.022,22.47,31.487
SnSe2,1.62,2.9263,39.33,7.54,88.21,21.566,2.353,0.278,8.95,1.135,4.333,0.471,117,19.798,5649.333,1174.268,639.625,450.25,497.693,5.223,22.68,31.338
SnTe,0.33,6.7,51,1,123.155,4.445,2.03,0.07,8.177,0.832,5,0,134,11,6775,535,2.068,0.807,613.87,108.789,35,32
Sr2Be2B2O7,8,1.677,11.53,11.39,25.144,26.78,2.553,1.126,10.919,3.498,2.461,1.082,90.153,59.881,1068.154,1174.564,1128.208,1642.582,792.276,875.271,38.783,65.956
SrF2,9.4,1.4371,18.66,13.67,41.872,32.348,2.97,1.428,13.513,5.528,3,1.414,101,83.438,877.797,1238.994,57.238,39.303,385.666,469.754,11.685,16.486
SrO,5.77,1.871,23,15,51.809,35.81,2.195,1.244,9.656,3.961,3.5,1.5,133.5,85.5,1315.714,1314.285,45.927,44.272,552.4,497.6,12.013,11.986
SrS,4.8,2.1,27,11,59.842,27.777,1.765,0.815,8.027,2.332,4,1,153.5,65.5,2295,335,359.762,358.107,719.18,330.82,17.602,17.397
SrSe,4.42,2.01,36,2,80.289,7.33,1.75,0.799,7.724,2.029,4.5,0.5,161,58,3724.5,1094.5,479.827,478.172,772,278,17.76,17.24
SrSnO3,4.1,1.9,22.4,18.03,50.865,43.819,2.646,1.023,10.778,3.516,3.2,1.469,101.6,69.692,1988.857,2848.692,55.025,43.08,343.896,393.774,20.415,26.944
SrTe,3.77,2.11,45,7,107.61,19.989,1.525,0.575,7.352,1.657,5,0,171,48,4435,1805,1.458,0.197,886.329,163.67,19,16
SrTiO3,4.1,2.3878,16.8,11.9,36.697,28.295,2.562,1.091,10.675,3.621,3,1.264,107.8,74.491,1428.257,1845.554,55.163,42.915,631.08,759.957,11.415,14.542
Ta2O5,4.2,2.1203,23.57,29.36,63.127,74.516,2.885,0.876,11.981,2.587,3.142,1.807,91.428,68.666,4758.163,7521.057,1701.857,2548.253,979.142,1461.514,16.304,25.737
Tb2O3,3.8,1.978,30.8,27.92,73.169,70.019,2.552,1.087,10.516,3.798,3.6,1.959,118.8,86.711,3288.457,4025.771,1455.32,1671.923,684.48,771.197,4.415,5.375
Te,0.33,4.2559,52,0,127.6,0,2.1,0,9.01,0,5,0,123,0,6240,0,1.261,0,722.66,0,3,0
TeO2,3,2.2597,22.66,20.74,53.199,52.609,2.993,0.631,12.082,2.172,3,1.414,73,35.355,2080.952,2940.89,60.553,41.926,277.42,314.832,1.017,1.401
ThO2,5.7,2.07,35.33,38.65,88.012,101.841,2.726,1.008,11.105,3.553,3.666,2.357,,,3908.952,5526.072,1757.8,2358.342,710.866,927.818,18.017,25.443
TiO2,3.5,2.1303,12.66,6.59,26.621,15.022,2.806,0.895,11.354,3.2,2.666,0.942,90.666,60.339,1503.286,2123.946,61.32,40.842,683.533,889.163,7.351,10.358
Tl3AsSe3,1.3,3.4258,54,23.38,129.564,64.798,2.1,0.429,8.2,1.811,4.857,0.989,127.285,25.126,7962.142,3380.104,1285.571,399.419,614.714,197.802,27.08,23.038
Tl3VS4,1.97,3.156,41.25,30.86,99.043,81.813,2.101,0.478,8.314,2.055,4.25,1.391,123.875,36.167,4300,3700.923,1014.145,610.224,683.43,573.471,21.227,21.518
TlBr,3.1,2.384,58,23,142.143,62.239,2.29,0.669,8.961,8.852,5,1,125,31,7485,4365,1039,707,421.4,155.6,23.06,22.94
TlCl,3.6,2.223,49,32,119.918,84.465,2.39,0.77,9.538,3.429,4.5,1.5,117.5,38.5,5926.607,5923.393,992.555,753.444,374.3,202.7,23.004,22.995
Tm2O3,5.4,1.958,32.4,29.88,77.173,74.922,2.564,1.072,10.644,3.641,3.6,1.959,117.6,85.242,3728.857,4565.148,943.32,1044.854,760.08,863.788,6.815,8.315
V2O5,2.36,2.5133,12.28,6.77,25.982,15.785,2.922,0.817,11.66,3.094,2.571,0.903,83.142,55.565,1746.735,2759.571,65.48,39.085,662.857,961.422,8.876,13.992
WO3,2.7,1.9772,24.5,28.57,57.959,72.677,3.17,0.467,12.208,2.441,3,1.732,84.25,62.486,4813.571,8334.875,1524.65,2484.54,964.85,1576.252,42.519,73.6
WSe2,1.35,4.4183,47.33,18.85,109.92,52.269,2.486,0.089,9.162,0.835,4.666,0.942,133,42.426,9629.333,6802.838,2581.333,2295.74,1561,1508.965,57.013,79.893
Y2O3,5.6,1.92,20.4,15.18,45.162,35.716,2.552,1.087,10.658,3.624,3.2,1.469,113.6,80.343,1789.657,2190.123,55.567,42.416,752.48,854.48,6.815,8.315
Y2Ti2O7,,2.34,16.18,11.97,35.049,28.074,2.69,0.995,10.071,3.553,2.909,1.239,101.9,71.066,2245.464,2244.069,58.705,41.663,714.872,874.243,7.107,9.488
Y3Al5O12,,1.8289,13.9,10.75,29.68,25.303,2.649,0.975,10.6,3.696,2.7,10.53,90.1,59.05,1346.657,1734.598,752.662,1177.793,536.097,646.299,61.315,100.448
Y3Fe5O12,,2.25,17.15,11.89,36.858,27.497,2.704,0.919,11.079,3.151,2.95,1.203,99.6,65.481,2640.157,3395.49,55.446,42.564,755.48,858.162,22.565,33.676
Y3Ga5O12,,1.913,18.4,12.97,40.366,30.415,2.699,0.924,10.603,3.692,2.95,1.203,94.6,61.634,2147.657,2664.899,55.281,42.767,378.457,605.78,9.815,12.539
Y3Sc2Al3O12,,1.96,14.7,10.95,31.478,25.683,2.624,1.235,10.657,4.445,2.8,1.122,96.7,65.171,1375.157,1758.7732,473.772,974.532,624.15,746.634,39.415,82.456
Yb2O3,4.9,1.947,23.5,26.84,78.815,76.933,2.504,1.146,10.672,3.607,3.6,1.959,117.6,85.242,2628.857,3217.929,641.72,675.471,469.68,508.122,15.615,19.092
ZnGeAs2,1.16,3.459,32,1.22,71.968,3.91,2.55,0.216,9.231,0.787,4,0,123.75,11.453,5979.75,689.974,444.568,442.432,1021.02,195.938,70,29.154
ZnGeP2,2.34,3.5232,23,8.03,49.994,19.192,2.01,0.22,9.567,1.06,3.5,0.5,115.75,18.739,4027.25,2295.953,277.868,275.732,634.67,366.548,45.118,49.642
ZnIn2S4,2.68,,27.42,14.44,60.469,36.172,2.218,0.419,8.915,2.005,3.714,0.88,115.142,31.638,4228.571,2620.049,411.05,354.285,443.659,103.254,40.688,48.194
ZnO,3.35,2.0034,19,11,40.694,24.695,2.545,0.895,11.506,2.112,3,1,95,47,3570.714,3569.285,45.69,44.51,373.739,318.94,60.013,59.986
ZnS,3.68,2.3505,23,7,48.727,16.662,2.115,0.465,9.876,0.482,3.5,0.5,115,27,4550,2590,359.525,358.345,540.52,152.159,60.102,59.897
ZnSe,2.71,2.5907,32,2,69.175,3.784,2.099,0.449,9.573,0.179,4,0,122.5,19.5,5979.5,1160.5,479.59,478.41,593.339,99.339,60.26,59.739
ZnSe (CVD),,2.59,32,2,69.175,3.784,2.099,0.446,9.573,0.179,4,0,122.5,19.5,5979.5,1160.5,479.59,478.41,593.399,99.399,60.26,59.739
ZnSiAs2,2.12,3.2292,27.5,7.88,60.829,19.301,1.977,0.22,9.293,0.681,3.75,0.433,120.25,12.616,5231.5,1771.588,1237.045,1174.77,1139.92,355.071,92.5,43.803
ZnSiP2,2.96,3.4,18.5,6.65,38.855,15.364,1.982,0.225,9.629,0.963,3.25,0.433,112.25,17.977,3279,2238.738,1070.345,1234.739,753.569,560.281,67.618,68.211
ZnSnAs2,0.73,,36.5,7.88,83.485,20.705,1.992,0.217,9.091,1.023,4.25,0.433,128.75,14.788,6476.5,750.909,444.513,442.486,844.44,254.359,71.75,28.708
ZnSnP2,1.66,2.9,27.5,14.36,61.511,35.888,1.997,0.221,9.428,1.283,3.75,0.829,120.75,22.774,4524,2701.668,277.813,275.786,458.09,155.631,46.868,50.256
ZnTe,2.3,2.962,41,11,96.495,31.104,1.875,0.225,9.202,0.192,4.5,0.5,132.5,9.5,6690,450,1.22,0.04,707.67,14.99,61.5,58.5
ZrO2,5,2.1226,18.66,15.08,41.074,35.461,2.736,0.994,11.29,3.292,3,1.414,100.666,74.481,2171.286,3068.641,61.693,40.313,745.866,977.315,7.684,10.829
ZrO2:Y2O3,4.1,2.12,,,,,,,,,,,,,,,,,,,,
